"pk";"code";"country"
1;"PRE.B";108
2;"FIRE.MR";108
3;"ELEC";108
4;"PIMUS";108
5;"CORD";108
6;"ROPE.SUP";108
7;"IRESQ.A1";108
8;"PROVIDER";108
9;"AC.B";108
10;"PLE.FULL";108
11;"SPE.HR";108
12;"ROPE.A";108
13;"ROPE";108
14;"ROPE.B";108
15;"TRL1";108
16;"RFO";108
17;"DPI3CAT.Anticaduta";108
18;"DPI3CAT.A2";108
19;"PLE.TRAINER";108
20;"ELEC.TRAINER";108
21;"ROPE.TRAINER";108
22;"IRESQ.TRAINER";108
23;"TRL.TRAINER";108
24;"DPI3CAT.Anticaduta.ITREC2018";108
25;"DPI3CAT.Anticaduta.CASACCIA2018";108
26;"BLSD";108
27;"OXYGEN";108
28;"RSPP.C";108
29;"TRAB";108
30;"AC.TRAINER";108
31;"DPI3CAT.TRAINER";108
32;"FIRE.HR";108
33;"DPI3CAT.APVR";108
34;"RSPP.EM.HR";108
35;"RLS.A";108
36;"FIRE.EMER.MR";108
37;"IFORESQ.A1";108
38;"DPI3CAT.PLE";108
39;"DPI3CAT.APVR.EN136";108
40;"ANNULLATO";108
41;"RSPP.EM.LR";108
42;"FIRST.AID.GRA";108
43;"FIRST.AID.GRBC";108
44;"FIRST.AID.TRAINER";108
45;"FIRE.MR.SCT";108
46;"DPI3CAT.APVR.SCT";108
47;"DPI3CAT.APVR.EN137";108
48;"AC.B.SOGIN";108
49;"FIRE.LR";108
50;"PLE.STAB";108
51;"PLE.NOSTAB";108
52;"EXT.TEC.RIGGER";108
53;"CORD.UPDATE";108
54;"FIRST.AID.UPGRADE.A";108
55;"FORKLIFT.1";108
