"pk";"course";"theory";"practice"
1;1;"8";"0"
2;2;"5";"3"
3;3;"14";"0"
4;4;"14";"14"
5;5;"96";"24"
6;6;"4";"4"
7;7;"40";"24"
8;8;"0";"0"
9;9;"4";"4"
10;10;"4";"6"
11;11;"16";"0"
12;12;"12";"20"
13;13;"12";"0"
14;14;"12";"20"
15;15;"1";"3"
16;16;"5";"10"
17;17;"4";"4"
18;18;"4";"4"
19;19;"4";"4"
20;20;"4";"4"
21;21;"4";"4"
22;22;"20";"20"
23;23;"8";"8"
24;24;"4";"4"
25;25;"4";"4"
26;26;"4";"4"
27;27;"2";"2"
28;28;"24";"0"
29;29;"4";"4"
30;30;"12";"20"
31;31;"4";"4"
32;32;"12";"4"
33;33;"4";"4"
34;34;"48";"0"
35;35;"32";"0"
36;36;"5";"3"
37;37;"25";"58"
38;38;"1";"3"
39;39;"1";"2"
40;40;"0";"0"
41;41;"16";"0"
42;42;"10";"6"
43;43;"8";"4"
44;44;"8";"8"
45;45;"4";"2"
46;46;"1";"1"
47;47;"4";"4"
48;48;"8";"8"
49;49;"2";"2"
50;50;"4";"4"
51;51;"4";"4"
52;52;"-";"-"
53;53;"40";"0"
54;54;"10";"6"
55;55;"8";"4"
