"pk";"course";"year";"theory";"practice"
1;1;"5";"6";"0"
2;2;"3";"3";"2"
3;3;"5";"4";"0"
4;4;"4";"1";"3"
5;5;"5";"40";"0"
6;6;"5";"1";"3"
7;7;"2";"4";"4"
8;8;"99";"0";"0"
9;9;"3";"1";"3"
10;10;"5";"1";"3"
11;11;"5";"6";"0"
12;12;"5";"4";"4"
13;13;"5";"0";"0"
14;14;"5";"4";"4"
15;15;"1";"1";"1"
16;16;"5";"1";"2"
17;17;"5";"2";"2"
18;18;"5";"2";"2"
19;19;"5";"2";"2"
20;20;"5";"2";"2"
21;21;"5";"2";"2"
22;22;"5";"4";"4"
23;23;"5";"4";"4"
24;24;"5";"2";"2"
25;25;"5";"2";"0"
26;26;"2";"2";"2"
27;27;"2";"1";"1"
28;28;"5";0;0
29;29;"4";"2";"2"
30;30;"5";"4";"8"
31;31;"5";"2";"2"
32;32;"3";"5";"3"
33;33;"5";"2";"2"
34;34;"5";"14";"0"
35;35;"5";"0";"0"
36;36;"3";"3";"2"
37;37;"1";"4";"8"
38;38;"5";"1";"2"
39;39;"1";"1";"1"
40;40;"99";"0";"0"
41;41;"5";"6";"0"
42;42;"3";"0";"6"
43;43;"3";"0";"4"
44;44;"3";"4";"4"
45;45;"3";"3";"2"
46;46;"5";"1";"1"
47;47;"1";"2";"2"
48;48;"5";"4";"4"
49;49;"3";"0";"2"
50;50;"5";"1";"3"
51;51;"5";"1";"3"
52;52;"99";0;0
53;53;"5";"40";"0"
54;54;"3";"0";"6"
55;55;"5";"1";"3"
